region_id,region,anchor_county,county_name,SCH_NAME,LEA_NAME,school_level,school_type,zip5
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Fairfield Career Center,Eastland-Fairfield Career & Technical Schools,High,Career and Technical School,43112
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Fairfield Elementary School,Pickerington Local,Elementary,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Fairfield Union High School,Fairfield Union Local,High,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Fairfield Union Rushville Middle School,Fairfield Union Local,Middle,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,General Sherman Junior High School,Lancaster City,Middle,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Gorsuch West Elementary School,Lancaster City,Elementary,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Harmon Middle School,Pickerington Local,Middle,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Heritage Elementary School,Pickerington Local,Elementary,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Lancaster High School,Lancaster City,High,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Liberty Union Elementary School,Liberty Union-Thurston Local,Elementary,Regular School,43105
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Liberty Union High School,Liberty Union-Thurston Local,High,Regular School,43105
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Liberty Union Middle School,Liberty Union-Thurston Local,Middle,Regular School,43105
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Medill Elementary School,Lancaster City,Elementary,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Millersport Elementary School,Walnut Township Local,Elementary,Regular School,43046
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Millersport Jr/Sr High School,Walnut Township Local,High,Regular School,43046
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Mt. Pleasant Elementary School,Lancaster City,Elementary,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Pickerington Academy,Pickerington Local,High,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Pickerington Elementary School,Pickerington Local,Elementary,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Pickerington High School Central,Pickerington Local,High,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Pickerington High School North,Pickerington Local,High,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Pickerington Lakeview Junior High,Pickerington Local,Middle,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Pickerington Ridgeview Junior High School,Pickerington Local,Middle,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Pleasantville Elementary School,Fairfield Union Local,Elementary,Regular School,43148
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Sycamore Creek Elementary School,Pickerington Local,Elementary,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Tallmadge Elementary School,Lancaster City,Elementary,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Tarhe Trails Elementary School,Lancaster City,Elementary,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Thomas Ewing Junior High School,Lancaster City,Middle,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Toll Gate Elementary,Pickerington Local,Elementary,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Toll Gate Middle School,Pickerington Local,Middle,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Violet Elementary School,Pickerington Local,Elementary,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fayette,Belle Aire Intermediate,Washington Court House City,Elementary,Regular School,43160
1.0,Group 1 - Columbus Core,Franklin,Fayette,Cherry Hill Primary,Washington Court House City,Elementary,Regular School,43160
1.0,Group 1 - Columbus Core,Franklin,Fayette,Miami Trace Elementary School,Miami Trace Local,Elementary,Regular School,43160
1.0,Group 1 - Columbus Core,Franklin,Fayette,Miami Trace High School,Miami Trace Local,High,Regular School,43160
1.0,Group 1 - Columbus Core,Franklin,Fayette,Miami Trace Middle School,Miami Trace Local,Middle,Regular School,43160
1.0,Group 1 - Columbus Core,Franklin,Fayette,Washington High School,Washington Court House City,High,Regular School,43160
1.0,Group 1 - Columbus Core,Franklin,Fayette,Washington Middle School,Washington Court House City,Middle,Regular School,43160
1.0,Group 1 - Columbus Core,Franklin,Franklin,A+ Arts Academy,A+ Arts Academy,Elementary,Regular School,43205
1.0,Group 1 - Columbus Core,Franklin,Franklin,A+ Children's Academy,A+ Children's Academy,Elementary,Regular School,43207
1.0,Group 1 - Columbus Core,Franklin,Franklin,Alpine Elementary School,Columbus City Schools District,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Alton Darby Elementary School,Hilliard City,Elementary,Regular School,43026
1.0,Group 1 - Columbus Core,Franklin,Franklin,Alton Hall Elementary School,South-Western City,Elementary,Regular School,43119
1.0,Group 1 - Columbus Core,Franklin,Franklin,Ann Simpson Davis Middle School,Dublin City,Middle,Regular School,43016
1.0,Group 1 - Columbus Core,Franklin,Franklin,Annehurst Elementary School,Westerville City,Elementary,Regular School,43081
